label,n_trades,win_rate,avg_return,net_pnl_usd,sharpe,max_dd,profit_factor
Fold 1: train 2021-2021 -> test 2022,5,0.2,-0.12346585259695897,-6163.816759063181,-4.406209888371873,-0.010083650044018122,0.11645388349374418
Fold 2: train 2021-2022 -> test 2023,8,0.875,0.10468809920769866,8377.898487387241,,0.0,19.927998079081846
Fold 3: train 2021-2023 -> test 2024,8,0.25,-0.03528724364232039,-2776.306109841437,-7.03054747050765,-0.01281422115356117,0.23112849331302898
Fold 4: train 2021-2024 -> test 2025,0,,,0.0,,,
Pooled OOS,21,0.47619047619047616,-0.002958210402941369,-562.2243815173773,-6.115159205279446,-0.018051602632887666,0.9490264556620043
