slippage_bps,n_trades,net_pnl_usd,avg_return_per_trade,sharpe,cost_pct_of_gross
5,7,-2118.383307463354,-0.030970800722621115,-6.115159205279446,0.04896682727930122
10,7,-2195.905970669327,-0.03208659042202649,-6.122970075436866,0.08210645739588901
15,7,-2273.477489110302,-0.03320241034558672,-6.129834653555731,0.11495172240435651
