date,position,cash,mark,mkt_value,unrealized_pnl,signal,kc_upper,kc_lower,bb_upper,bb_lower,squeeze_on,atr,adx,daily_return,symbol,fold_id,test_year
2022-01-03,0,100000.0,354.36,100000.0,0.0,0,,,,,False,,,,LMT,1,2022
2022-01-04,0,100000.0,361.99,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-05,0,100000.0,358.14,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-06,0,100000.0,358.0,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-07,0,100000.0,360.14,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-10,0,100000.0,363.25,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-11,0,100000.0,364.14,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-12,0,100000.0,361.3,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-13,0,100000.0,365.18,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-14,0,100000.0,372.62,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-18,0,100000.0,376.54,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-19,0,100000.0,377.33,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-20,0,100000.0,375.13,100000.0,0.0,0,,,,,False,,,0.0,LMT,1,2022
2022-01-21,0,100000.0,371.2,100000.0,0.0,0,,,,,False,5.739845824128032,,0.0,LMT,1,2022
2022-01-24,0,100000.0,373.33,100000.0,0.0,0,,,,,False,5.986999693833176,,0.0,LMT,1,2022
2022-01-25,0,100000.0,387.17,100000.0,0.0,0,,,,,False,6.78935685855938,,0.0,LMT,1,2022
2022-01-26,0,100000.0,391.24,100000.0,0.0,0,,,,,False,7.013688511519424,,0.0,LMT,1,2022
2022-01-27,0,100000.0,389.08,100000.0,0.0,0,,,,,False,7.289139332125179,,0.0,LMT,1,2022
